id,supermarket,name,price,original_price,brand,barcode,ean,gtin,sku,category,subcategory,image_url,product_url,description,unit,quantity,in_stock,scraped_at,updated_at
1,tata,Arroz Blanco Saman 1 Kg,72.0,72.0,Saman,,0000250611000,1000050592,299,arroz,,https://tatauy.vtexassets.com/arquivos/ids/212108/Arroz-Blanco-Saman-1Kg-1-721.jpg?v=637611497353270000,https://www.tata.com.uy/arroz-blanco-saman-1-kg-299/p,Arroz Blanco Saman 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
2,tata,Arroz Patna Green Chef Bolsa 1 Kg,61.0,61.0,Green Chef,,7730114400016,1000050603,300,arroz,,https://tatauy.vtexassets.com/arquivos/ids/186290/Arroz-Patna-Green-Chef-Bolsa-1Kg-1-720.jpg?v=637322922387430000,https://www.tata.com.uy/arroz-patna-green-chef-bolsa-1-kg-300/p,Arroz Patna Green Chef Bolsa 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
3,tata,Arroz Parboiled Ta-Ta 1 Kg,55.0,73.0,Ta-Ta,,7730963887754,1000408541,85481,arroz,,https://tatauy.vtexassets.com/arquivos/ids/785657/68de90dc0bd9f886e32fb92a.jpg?v=638950145586670000,https://www.tata.com.uy/arroz-parboiled-ta-ta-1-kg-85481/p,Arroz Parboiled Ta-Ta 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
4,tata,Arroz Green Chef 5 Kg,249.0,249.0,Green Chef,,7730114000476,1000300254,86672,arroz,,https://tatauy.vtexassets.com/arquivos/ids/469701/Arroz-Green-Chef-5-Kg-1-29524.jpg?v=637977624936270000,https://www.tata.com.uy/arroz-green-chef-5-kg-86672/p,Arroz Green Chef 5 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
5,tata,Arroz Parboiled Saman 1 Kg,84.0,84.0,Saman,,7730115030106,1000050591,303,arroz,,https://tatauy.vtexassets.com/arquivos/ids/226005/Arroz-Parboiled-Saman-1-Kg-1-717.jpg?v=637691529943870000,https://www.tata.com.uy/arroz-parboiled-saman-1-kg-303/p,Arroz Parboiled Saman 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
6,tata,Arroz Patna Saman 1 Kg,50.0,60.0,Saman,,0000250609000,1000050590,3445,arroz,,https://tatauy.vtexassets.com/arquivos/ids/206490/Arroz-Patna-Saman-1-Kg-1-3457.jpg?v=637553609868230000,https://www.tata.com.uy/arroz-patna-saman-1-kg-3445/p,Arroz Patna Saman 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
7,tata,Arroz Blue Patna Bolsa 1 Kg,77.0,77.0,Blue Patna,,7730114000117,1000050604,301,arroz,,https://tatauy.vtexassets.com/arquivos/ids/210592/Arroz-Blue-Patna-Bolsa-1Kg-1-719.jpg?v=637593353507130000,https://www.tata.com.uy/arroz-blue-patna-bolsa-1-kg-301/p,Arroz Blue Patna Bolsa 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
8,tata,Arroz Integral Saman 1 Kg,113.0,113.0,Saman,,7730115050104,1000050608,302,arroz,,https://tatauy.vtexassets.com/arquivos/ids/333091/Arroz-Integral-Saman-1-Kg-1-718.jpg?v=637849641667200000,https://www.tata.com.uy/arroz-integral-saman-1-kg-302/p,Arroz Integral Saman 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
9,tata,ARROZ BLANCO SAMAN 5 KG,345.0,345.0,Saman,,7730115000352,1000050596,3447,arroz,,https://tatauy.vtexassets.com/arquivos/ids/162224/ARROZ-BLANCO-SAMAN-5-KG-1-3459.jpg?v=636978215170500000,https://www.tata.com.uy/arroz-blanco-saman-5-kg-3447/p,ARROZ BLANCO SAMAN 5 KG,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
10,tata,Arroz Blanco Ta-Ta 1 Kg,51.0,68.0,Ta-Ta,,0000259555000,1000054282,8421,arroz,,https://tatauy.vtexassets.com/arquivos/ids/789969/697b6701e3bce48b03da6af4.jpg?v=639052917840630000,https://www.tata.com.uy/arroz-blanco-ta-ta-1-kg-8421/p,Arroz Blanco Ta-Ta 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
11,tata,Arroz Patna Aruba 1 Kg,44.0,44.0,Aruba,,7730115170109,1000050588,3439,arroz,,https://tatauy.vtexassets.com/arquivos/ids/157407/ARROZ-PATNA-ARUBA-BOLSA-1-KG-1-3451.jpg?v=636865001903930000,https://www.tata.com.uy/arroz-patna-aruba-1-kg-1000050588-3439/p,Arroz Patna Aruba 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
12,tata,ARROZ PARBOILED BLUE PATNA 500 G,45.0,45.0,Blue Patna,,7730114000513,1000050607,3449,arroz,,https://tatauy.vtexassets.com/arquivos/ids/785515/68d29f3a9738fdafe51509b3.jpg?v=638942313453030000,https://www.tata.com.uy/arroz-parboiled-blue-patna-500-g-3449/p,Arroz Parboiled Blue Patna 500 G,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
13,tata,Arroz Parboiled Blue Patna Bolsa 1 Kg,67.0,67.0,Blue Patna,,0000250627000,1000050605,304,arroz,,https://tatauy.vtexassets.com/arquivos/ids/397378/Arroz-Parboiled-Blue-Patna-Bolsa-1-Kg-1-716.jpg?v=637920381638770000,https://www.tata.com.uy/arroz-parboiled-blue-patna-bolsa-1-kg-304/p,Arroz Parboiled Blue Patna Bolsa 1 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
14,tata,Arroz Saborizado A La Española Monte Cudine 200 G,90.0,90.0,Monte Cudine,,7730177003766,1000050623,7138,arroz,,https://tatauy.vtexassets.com/arquivos/ids/374652/Arroz-Saborizad-A-La-Espa-ola-Monte-Cudine-200-G-1-7061.jpg?v=637897813414870000,https://www.tata.com.uy/arroz-saborizado-a-la-espa%C3%B1ola-monte-cudine-200-g-7138/p,Arroz Saborizado A La Española Monte Cudine 200 G,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
15,tata,Arroz Blue Patna 500 G,45.0,45.0,Blue Patna,,7730114000131,1000318740,136827,arroz,,https://tatauy.vtexassets.com/arquivos/ids/716534/Arroz-Blue-Patna-500-G-1-36939.jpg?v=638591709633770000,https://www.tata.com.uy/arroz-blue-patna-500-g-136827/p,Arroz Blue Patna 500 G,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
16,tata,Arroz Saborizado Monte Cudine Con Queso 190 G,95.0,95.0,Monte Cudine,,2302506640000,1000050626,3451,arroz,,https://tatauy.vtexassets.com/arquivos/ids/374649/Arroz-Saborizado-Monte-Cudine-Con-Queso-190-G-1-3463.jpg?v=637897813406270000,https://www.tata.com.uy/arroz-saborizado-monte-cudine-con-queso-190-g-3451/p,Arroz Saborizado Monte Cudine Con Queso 190 G,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
17,tata,Arroz Saborizado 4 Quesos Blue Patna 200 G,84.0,84.0,Blue Patna,,7730114000407,1000347651,23563,arroz,,https://tatauy.vtexassets.com/arquivos/ids/229112/Arroz-Saborizado-4-Quesos-Blue-Patna-200-Gr-1-23943.jpg?v=637721558800500000,https://www.tata.com.uy/arroz-saborizado-4-quesos-blue-patna-200-g-23563/p,Arroz Saborizado 4 Quesos Blue Patna 200 G,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
18,tata,Arroz Patna Blue Patna 2 Kg,154.0,154.0,Blue Patna,,7730114000124,1000050610,3442,arroz,,https://tatauy.vtexassets.com/arquivos/ids/404993/Arroz-Patna-Blue-Patna-2-Kg-1-3454.jpg?v=637934314239630000,https://www.tata.com.uy/arroz-patna-blue-patna-2-kg-3442/p,Arroz Patna Blue Patna 2 Kg,un,,1,2026-03-05 03:23:56,2026-03-05 03:23:56
