Product_Tienda,Product_Other,Store,Price_Tienda,Price_Other,Difference,Percentage,Cheaper_At,Match_Score,Match_Type,Savings
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 1 kg,Disco,$50,$74,$24,48.0%,Tienda Inglesa,0.73,name,24.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 1 kg,Disco,$50,$74,$24,48.0%,Tienda Inglesa,0.73,name,24.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 1 kg,Devoto,$50,$74,$24,48.0%,Tienda Inglesa,0.73,name,24.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 1 kg,Devoto,$50,$74,$24,48.0%,Tienda Inglesa,0.73,name,24.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco MIROKUMAI 1 kg,Disco,$50,$152,$102,204.0%,Tienda Inglesa,0.71,name,102.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco MIROKUMAI 1 kg,Disco,$50,$152,$102,204.0%,Tienda Inglesa,0.71,name,102.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco MIROKUMAI 1 kg,Disco,$50,$152,$102,204.0%,Tienda Inglesa,0.71,name,102.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco MIROKUMAI 1 kg,Devoto,$50,$152,$102,204.0%,Tienda Inglesa,0.71,name,102.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco MIROKUMAI 1 kg,Devoto,$50,$152,$102,204.0%,Tienda Inglesa,0.71,name,102.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco MIROKUMAI 1 kg,Devoto,$50,$152,$102,204.0%,Tienda Inglesa,0.71,name,102.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 5 kg,Disco,$50,$309,$259,518.0%,Tienda Inglesa,0.69,name,259.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 5 kg,Disco,$50,$309,$259,518.0%,Tienda Inglesa,0.69,name,259.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 5 kg,Disco,$50,$309,$259,518.0%,Tienda Inglesa,0.69,name,259.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 5 kg,Devoto,$50,$309,$259,518.0%,Tienda Inglesa,0.69,name,259.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 5 kg,Devoto,$50,$309,$259,518.0%,Tienda Inglesa,0.69,name,259.0
Arroz Blanco TIENDA INGLESA 1 Kg,Arroz blanco SAMAN 5 kg,Devoto,$50,$309,$259,518.0%,Tienda Inglesa,0.69,name,259.0
Arroz BLUE PATNA 1 Kg,Arroz patna BLUE PATNA 2 kg,Disco,$56,$149,$93,166.1%,Tienda Inglesa,0.83,name,93.0
Arroz BLUE PATNA 1 Kg,Arroz patna BLUE PATNA 5 kg,Disco,$56,$229,$173,308.9%,Tienda Inglesa,0.83,name,173.0
Arroz BLUE PATNA 1 Kg,Arroz patna BLUE PATNA 2 kg,Disco,$56,$149,$93,166.1%,Tienda Inglesa,0.83,name,93.0
Arroz BLUE PATNA 1 Kg,Arroz patna BLUE PATNA 5 kg,Disco,$56,$229,$173,308.9%,Tienda Inglesa,0.83,name,173.0
Arroz BLUE PATNA 1 Kg,Arroz patna BLUE PATNA 2 kg,Devoto,$56,$149,$93,166.1%,Tienda Inglesa,0.83,name,93.0
Arroz BLUE PATNA 1 Kg,Arroz patna BLUE PATNA 5 kg,Devoto,$56,$333,$277,494.6%,Tienda Inglesa,0.83,name,277.0
Arroz BLUE PATNA 1 Kg,Arroz patna BLUE PATNA 2 kg,Devoto,$56,$149,$93,166.1%,Tienda Inglesa,0.83,name,93.0
Arroz BLUE PATNA 1 Kg,Arroz patna BLUE PATNA 5 kg,Devoto,$56,$333,$277,494.6%,Tienda Inglesa,0.83,name,277.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 1 kg,Disco,$56,$86,$30,53.6%,Tienda Inglesa,0.81,name,30.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 1 kg,Disco,$56,$86,$30,53.6%,Tienda Inglesa,0.81,name,30.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 1 kg,Disco,$56,$86,$30,53.6%,Tienda Inglesa,0.81,name,30.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 1 kg,Devoto,$56,$86,$30,53.6%,Tienda Inglesa,0.81,name,30.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 1 kg,Devoto,$56,$86,$30,53.6%,Tienda Inglesa,0.81,name,30.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 1 kg,Devoto,$56,$86,$30,53.6%,Tienda Inglesa,0.81,name,30.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Disco,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Disco,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Disco,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Disco,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Disco,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Disco,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Devoto,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Devoto,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Devoto,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Devoto,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Devoto,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz parboiled BLUE PATNA 5 kg,Devoto,$56,$309,$253,451.8%,Tienda Inglesa,0.77,name,253.0
Arroz BLUE PATNA 1 Kg,Arroz paella BLUE PATNA 200g,Disco,$56,$95,$39,69.6%,Tienda Inglesa,0.73,name,39.0
Arroz BLUE PATNA 1 Kg,Arroz paella BLUE PATNA 200g,Disco,$56,$95,$39,69.6%,Tienda Inglesa,0.73,name,39.0
Arroz BLUE PATNA 1 Kg,Arroz paella BLUE PATNA 200g,Devoto,$56,$95,$39,69.6%,Tienda Inglesa,0.73,name,39.0
Arroz BLUE PATNA 1 Kg,Arroz paella BLUE PATNA 200g,Devoto,$56,$95,$39,69.6%,Tienda Inglesa,0.73,name,39.0
Arroz BLUE PATNA 1 Kg,Arroz corto panoja 1 kg,Disco,$56,$119,$63,112.5%,Tienda Inglesa,0.73,name,63.0
Arroz BLUE PATNA 1 Kg,Arroz blanco SAMAN 1 kg,Disco,$56,$74,$18,32.1%,Tienda Inglesa,0.73,name,18.0
Arroz BLUE PATNA 1 Kg,Arroz corto panoja 1 kg,Disco,$56,$119,$63,112.5%,Tienda Inglesa,0.73,name,63.0
Arroz BLUE PATNA 1 Kg,Arroz blanco SAMAN 1 kg,Disco,$56,$74,$18,32.1%,Tienda Inglesa,0.73,name,18.0
Arroz BLUE PATNA 1 Kg,Arroz corto panoja 1 kg,Devoto,$56,$119,$63,112.5%,Tienda Inglesa,0.73,name,63.0
Arroz BLUE PATNA 1 Kg,Arroz blanco SAMAN 1 kg,Devoto,$56,$74,$18,32.1%,Tienda Inglesa,0.73,name,18.0
